,maquina_id,linha,turno,data_registro,desconto_min,afeta,tempo_esperado_min,performance
80,TMF005,1,VES,2023-12-27,60.0,104.0,420.0,0.24761904761904763
81,TMF005,1,NOT,2023-12-28,0.0,120.0,480.0,0.25
82,TMF005,1,MAT,2023-12-28,60.0,56.0,420.0,0.13333333333333333
83,TMF005,1,VES,2023-12-28,60.0,96.0,420.0,0.22857142857142856
84,TMF005,1,NOT,2023-12-29,10.0,84.0,470.0,0.17872340425531916
85,TMF005,1,MAT,2023-12-29,60.0,38.0,420.0,0.09047619047619047
86,TMF005,1,VES,2023-12-29,0.0,480.0,480.0,1.0
87,TMF005,1,NOT,2023-12-30,0.0,0.0,480.0,0.0
88,TMF005,1,MAT,2023-12-30,0.0,0.0,480.0,0.0
89,TMF005,1,VES,2023-12-30,0.0,0.0,480.0,0.0
90,TMF005,1,NOT,2023-12-31,0.0,0.0,480.0,0.0
91,TMF005,1,MAT,2023-12-31,0.0,0.0,480.0,0.0
92,TMF005,1,VES,2023-12-31,0.0,0.0,480.0,0.0
93,TMF002,2,NOT,2023-12-01,0.0,182.0,480.0,0.37916666666666665
94,TMF002,2,MAT,2023-12-01,60.0,86.0,420.0,0.20476190476190476
95,TMF002,2,VES,2023-12-01,0.0,238.0,480.0,0.49583333333333335
96,TMF002,2,NOT,2023-12-02,0.0,98.0,480.0,0.20416666666666666
97,TMF002,2,MAT,2023-12-02,60.0,108.0,420.0,0.2571428571428571
98,TMF002,2,VES,2023-12-02,0.0,80.0,480.0,0.16666666666666666
99,TMF002,2,NOT,2023-12-03,0.0,470.0,480.0,0.9791666666666666
100,TMF002,2,MAT,2023-12-03,60.0,16.0,420.0,0.0380952380952381
101,TMF002,2,VES,2023-12-03,0.0,126.0,480.0,0.2625
102,TMF002,2,NOT,2023-12-04,0.0,106.0,480.0,0.22083333333333333
103,TMF002,2,MAT,2023-12-04,0.0,42.0,480.0,0.0875
104,TMF002,2,VES,2023-12-04,0.0,206.0,480.0,0.42916666666666664
105,TMF002,2,NOT,2023-12-05,0.0,84.0,480.0,0.175
106,TMF002,2,MAT,2023-12-05,60.0,68.0,420.0,0.1619047619047619
107,TMF002,2,VES,2023-12-05,60.0,100.0,420.0,0.23809523809523808
108,TMF002,2,NOT,2023-12-06,0.0,84.0,480.0,0.175
109,TMF002,2,MAT,2023-12-06,60.0,84.0,420.0,0.2
110,TMF002,2,VES,2023-12-06,60.0,172.0,420.0,0.4095238095238095
