,maquina_id,linha,turno,data_registro,desconto_min,afeta,tempo_esperado_min,reparo
86,TMF005,1,VES,2023-12-29,0.0,0.0,480.0,0.0
87,TMF005,1,NOT,2023-12-30,0.0,0.0,480.0,0.0
88,TMF005,1,MAT,2023-12-30,0.0,0.0,480.0,0.0
89,TMF005,1,VES,2023-12-30,0.0,0.0,480.0,0.0
90,TMF005,1,NOT,2023-12-31,0.0,0.0,480.0,0.0
91,TMF005,1,MAT,2023-12-31,0.0,0.0,480.0,0.0
92,TMF005,1,VES,2023-12-31,0.0,0.0,480.0,0.0
93,TMF002,2,NOT,2023-12-01,0.0,0.0,480.0,0.0
94,TMF002,2,MAT,2023-12-01,0.0,84.0,480.0,0.175
95,TMF002,2,VES,2023-12-01,0.0,0.0,480.0,0.0
96,TMF002,2,NOT,2023-12-02,0.0,34.0,480.0,0.07083333333333333
97,TMF002,2,MAT,2023-12-02,0.0,2.0,480.0,0.004166666666666667
98,TMF002,2,VES,2023-12-02,0.0,0.0,480.0,0.0
99,TMF002,2,NOT,2023-12-03,0.0,0.0,480.0,0.0
100,TMF002,2,MAT,2023-12-03,0.0,24.0,480.0,0.05
101,TMF002,2,VES,2023-12-03,0.0,0.0,480.0,0.0
102,TMF002,2,NOT,2023-12-04,0.0,0.0,480.0,0.0
103,TMF002,2,MAT,2023-12-04,0.0,0.0,480.0,0.0
104,TMF002,2,VES,2023-12-04,0.0,0.0,480.0,0.0
105,TMF002,2,NOT,2023-12-05,0.0,0.0,480.0,0.0
106,TMF002,2,MAT,2023-12-05,0.0,0.0,480.0,0.0
107,TMF002,2,VES,2023-12-05,0.0,0.0,480.0,0.0
108,TMF002,2,NOT,2023-12-06,0.0,0.0,480.0,0.0
109,TMF002,2,MAT,2023-12-06,0.0,8.0,480.0,0.016666666666666666
110,TMF002,2,VES,2023-12-06,0.0,0.0,480.0,0.0
111,TMF002,2,NOT,2023-12-07,0.0,0.0,480.0,0.0
112,TMF002,2,MAT,2023-12-07,0.0,0.0,480.0,0.0
113,TMF002,2,VES,2023-12-07,0.0,0.0,480.0,0.0
114,TMF002,2,NOT,2023-12-08,0.0,0.0,480.0,0.0
115,TMF002,2,MAT,2023-12-08,0.0,162.0,480.0,0.3375
116,TMF002,2,VES,2023-12-08,0.0,0.0,480.0,0.0
117,TMF002,2,NOT,2023-12-09,0.0,4.0,480.0,0.008333333333333333
118,TMF002,2,MAT,2023-12-09,0.0,22.0,480.0,0.04583333333333333
119,TMF002,2,VES,2023-12-09,0.0,0.0,480.0,0.0
120,TMF002,2,NOT,2023-12-10,0.0,0.0,480.0,0.0
121,TMF002,2,MAT,2023-12-10,0.0,0.0,480.0,0.0
122,TMF002,2,VES,2023-12-10,0.0,0.0,480.0,0.0
123,TMF002,2,NOT,2023-12-11,0.0,0.0,480.0,0.0
124,TMF002,2,MAT,2023-12-11,0.0,0.0,480.0,0.0
125,TMF002,2,VES,2023-12-11,0.0,0.0,480.0,0.0
126,TMF002,2,NOT,2023-12-12,0.0,0.0,480.0,0.0
127,TMF002,2,MAT,2023-12-12,0.0,28.0,480.0,0.058333333333333334
128,TMF002,2,VES,2023-12-12,0.0,0.0,480.0,0.0
129,TMF002,2,NOT,2023-12-13,0.0,4.0,480.0,0.008333333333333333
130,TMF002,2,MAT,2023-12-13,0.0,32.0,480.0,0.06666666666666667
131,TMF002,2,VES,2023-12-13,0.0,0.0,480.0,0.0
132,TMF002,2,NOT,2023-12-14,0.0,0.0,480.0,0.0
133,TMF002,2,MAT,2023-12-14,0.0,0.0,480.0,0.0
134,TMF002,2,VES,2023-12-14,0.0,0.0,480.0,0.0
135,TMF002,2,NOT,2023-12-15,0.0,0.0,480.0,0.0
136,TMF002,2,MAT,2023-12-15,0.0,0.0,480.0,0.0
137,TMF002,2,VES,2023-12-15,0.0,0.0,480.0,0.0
138,TMF002,2,NOT,2023-12-16,0.0,0.0,480.0,0.0
139,TMF002,2,MAT,2023-12-16,0.0,12.0,480.0,0.025
140,TMF002,2,VES,2023-12-16,0.0,0.0,480.0,0.0
141,TMF002,2,NOT,2023-12-17,0.0,0.0,480.0,0.0
142,TMF002,2,MAT,2023-12-17,0.0,0.0,480.0,0.0
143,TMF002,2,VES,2023-12-17,0.0,0.0,480.0,0.0
144,TMF002,2,NOT,2023-12-18,0.0,0.0,480.0,0.0
145,TMF002,2,MAT,2023-12-18,0.0,10.0,480.0,0.020833333333333332
146,TMF002,2,VES,2023-12-18,0.0,0.0,480.0,0.0
147,TMF002,2,NOT,2023-12-19,0.0,0.0,480.0,0.0
148,TMF002,2,MAT,2023-12-19,0.0,8.0,480.0,0.016666666666666666
149,TMF002,2,VES,2023-12-19,0.0,0.0,480.0,0.0
150,TMF002,2,NOT,2023-12-20,0.0,0.0,480.0,0.0
151,TMF002,2,MAT,2023-12-20,0.0,16.0,480.0,0.03333333333333333
152,TMF002,2,VES,2023-12-20,0.0,82.0,480.0,0.17083333333333334
